,,,,,,,,,,,,,,,,,,,
,,Central Line Associated Bloodstream Infection (ICU + select Wards),CLABSI,.,,Emoji,Category,"Better Than Average, Average, Below Average","Red, Orange, Yellow, Green, Grey",https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,Central Line Associated Blood Stream Infection.,"A serious hospital-acquired infection that occurs when bacteria enter the bloodstream through a central line. CLABSI can cause severe complications, including sepsis, prolonged hospital stays, and increased mortality. CLABSI is life-threatening and preventable through strict sterile techniques and proper catheter care.",ChatGPT generated,,,,,
,,Catheter Associated Urinary Tract Infections (ICU + select Wards),CAUTI,.,,Emoji,Category,"Better Than Average, Average, Below Average","Red, Orange, Yellow, Green, Grey",https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,Catheter Associated Urinary Tract Infection. ,"An infection that develops when bacteria enter the urinary tract through a catheter. It can cause discomfort, fever, and more severe complications like kidney infections or bloodstream infections. CAUTI can prolong hospital stays and lead to antibiotic resistance, making prevention through proper catheter care and early removal essential.",ChatGPT generated,,,,,
,,SSI - Colon Surgery,SSI - Colon Surgery,.,,Emoji,Category,"Better Than Average, Average, Below Average","Red, Orange, Yellow, Green, Grey",https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,Surgical Site Infection - Colon Surgery.,"A bacterial infection at the incision site after colon surgery, leading to redness, swelling, drainage, or deeper tissue infections. SSIs can cause severe complications, prolonged hospital stays, and the need for additional treatments or surgeries.",ChatGPT generated,,,,,
,,SSI - Abdominal Hysterectomy,SSI - Hysterectomy,.,,Emoji,Category,"Better Than Average, Average, Below Average","Red, Orange, Yellow, Green, Grey",https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,Surgical Site Infection - Hysterectomy.,"A bacterial infection at the incision site after hysterectomy (uterus removal), leading to redness, swelling, drainage, or deeper tissue infections. SSIs can cause severe complications, prolonged hospital stays, and the need for additional treatments or surgeries.",ChatGPT generated,,,,,
,,MRSA Bacteremia,MRSA,.,,Emoji,Category,"Better Than Average, Average, Below Average","Red, Orange, Yellow, Green, Grey",https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,Methicillin-resistant Staphylococcus aureus Bacteremia.,"A bacterial infection resistant to many common antibiotics, making it difficult to treat. MRSA can lead to severe infections, including bloodstream infections and pneumonia, increasing the risk of complications, prolonged hospital stays, and higher healthcare costs.",ChatGPT generated,,,,,
,,Clostridium Difficile,C. Diff,.,,Emoji,Category,"Better Than Average, Average, Below Average","Red, Orange, Yellow, Green, Grey",https://data.cms.gov/provider-data/dataset/dgck-syfz,Hospitals,Clostridium Difficile.,"A bacterial infection that causes severe diarrhea and colitis. C. diff can lead to prolonged hospital stays, serious complications, and even life-threatening conditions, especially for older adults and those with weakened immune systems.",ChatGPT generated,,,,,
,,Family caregiver survey rating,Caregiver Survey Rating,Caregiver Rating,Yes,Stars,Stars,,"Red, Yellow, Green, Grey",,Hospice ,Family caregivers overall rating on this hospice.,,From survey itself,,,,,
,,The hospice team provided the right amount of emotional and spiritual support,Emotional & Spiritual Support ,,,Emoji,Percent,,"Red, Yellow, Green, Grey",https://data.cms.gov/provider-data/dataset/gxki-hrr8,Hospice ,Do hospice staff provide emotional support while their family member was in hospice and in the weeks after their family member's death? Were their religious or spiritual beliefs supported?,,From survey itself,,,,,
,,"YES, they would definitely recommend the hospice",Caregiver Recommends This Hospice,,,Emoji,Percent,,"Red, Yellow, Green, Grey",,Hospice ,How likely would family members recommend this hospice to other friends or family?,,From survey itself,,,,,
,,The hospice team always treated the patient with respect,Respect for Patient,,,Emoji,Percent,,"Red, Yellow, Green, Grey",,Hospice ,"Do hospice staff treat their patients with dignity and respect, and really care about their patients?",,From survey itself,,,,,
,,The patient always got the help they needed for pain and symptoms,Symptoms Managed,Symptoms Managed,Yes,Emoji,Percent,,"Red, Yellow, Green, Grey",,Hospice ,"How often do patients recieve help for patin, trouble breathing, trouble with constipation, feelings of anxiety or sadness?",,From survey itself,,,,,
,,The hospice team always communicated well,Staff Communication,,,Emoji,Percent,,"Red, Yellow, Green, Grey",,Hospice ,"How often do hospice staff keep family and caregivers explain their patient's care simply, and listen carefully to family and caregiver concerns?",,From survey itself,,,,,
,,The hospice team always provided timely help,Staff Responsiveness ,,,Emoji,Percent,,"Red, Yellow, Green, Grey",,Hospice ,How often do hospice staff give help as soon as it's needed; give help on evenings/weekends/holidays?,,From survey itself,,,,,
,,They definitely received the training they needed,Family Care Training,,,Emoji,Percent,,"Red, Yellow, Green, Grey",,Hospice ,"Do family recieve training about medication side effects, if/when to give more pain medication, how to help with trouble breathing, and if the patient becomes restless/ agitated?",,From survey itself,,,,,
,,Patients' rating of the facility linear mean score,Patient Rating - Outpatient,Patient Rating,Yes,Emoji,Percent,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/yizn-abxn,Outpatient,Patient's overall rating of this outpatient facility.,,From survey itself,,,,,
,,Patients who reported YES they would DEFINITELY recommend the facility to family or friends,Patient Recommends,,,Emoji,Percent,,"Red, Yellow, Green, Grey",,Outpatient,Would patients recommend this facility to friends and family?,,From survey itself,,,,,
,,Patients who reported that staff definitely communicated about what to expect during and after the procedure,Staff Communication,Communication,Yes,Emoji,Percent,,"Red, Yellow, Green, Grey",,Outpatient,"Do doctors give patients all the information they need about their procedure, and supply simple instructions about preparing for the procedure?",,From survey itself,,,,,
,,Patients who reported that staff definitely gave care in a professional way and the facility was clean,Staff Professional and Facility Clean,,,Emoji,Percent,,"Red, Yellow, Green, Grey",,Outpatient,"Is the check-in process smooth, the facility clean, and staff helpful, courtious, respectful and accomodating?",,From survey itself,,,,,
,,Star rating of nephrologists' communication and caring,Communication and Caring,,,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/59mq-zhts,Hemodialysis,"How often do kidney doctors listen carefully to their patients, explain care simply, show respect for patient input, spend enough time with their patients, care about their patient as a person, and are informed about their patient's healthcare from other doctors?",,,,,,,
,,Star rating of quality of dialysis center care and operations,Care Quality,,,Stars,Stars,,Yellow and Grey,,Hemodialysis,"How often do staff make their patients as comfortable as possible, keep patient's health information private from other patients, make patients comfortable asking about their care, ask how kidney disease affects their patient's lives, manage procedure discomfort, check on patients during dialysis, manage dialysis-associated problems...",,,,,,,
,,Star rating of providing information to patients,Provide Information,,,Stars,Stars,,Yellow and Grey,,Hemodialysis,"How often do staff discuss dialysis treatment options (kidney transplants, peritoneal dialysis, dialysis at center or at home), or kidney transplant eligibility?",,,,,,,
,,Star rating of the nephrologist,Nephrologist,,,Stars,Stars,,Yellow and Grey,,Hemodialysis,Patient rating of their kidney doctor,,,,,,,
,,Star rating of the dialysis center staff,Staff,,,Stars,Stars,,Yellow and Grey,,Hemodialysis,"How often do staff doctors listen carefully to their patients, explain care simply, show respect for patient input, spend enough time with their patients, and care about their patient as a person?",,,,,,,
,,Star rating of the dialysis facility,Facility,,,Stars,Stars,,Yellow and Grey,,Hemodialysis,"How often are patients placed on dialysis within 15 minutes of their appointment time, is the facility clean, and what do patients rate this facility?",,,,,,,
,,Five Star,Patient Rating,Patient's Rating,Yes,Stars,Stars,,Yellow and Grey,,Hemodialysis,,,,,,,,
,,Patient Infection category text,Infection Risk,Infection Risk,Yes,Emoji,Category,"Better Than Average, Average, Below Average","Red, Yellow, Green, Grey",,Hemodialysis,,,,,,,,
,Not including this hemodialysis data yet,Patient Survival Category Text,Patient Survival,,,Emoji,Category,"Better Than Average, Average, Below Average","Red, Yellow, Green, Grey",,Hemodialysis,,,,,,,,
,,Patient hospitalization category text,Patient Hospitalization,,,Emoji,Category,"Better Than Average, Average, Below Average","Red, Yellow, Green, Grey",,Hemodialysis,,,,,,,,
,,Patient Hospital Readmission Category,Hospital Readmission,,,Emoji,Category,"Better Than Average, Average, Below Average","Red, Yellow, Green, Grey",,Hemodialysis,,,,,,,,
,,Overall Rating,Overall Nursing Home Rating ,Overall Rating ,Yes,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/4pq5-n9py,Nursing Homes,"Averaged rating including health inspections, staffing, and quality measures",,,,,,,
,,Health Inspection Rating,Health Inspection,,,Stars,Stars,,Yellow and Grey,,Nursing Homes,"is the facility hiring enough quality staff to provide adequate care, managing medications properly, protecting patients from physical and mental abuse, storing and preparing food properly?",,https://www.medicare.gov/care-compare/resources/nursing-home/health-inspections,,,,,
,,Long-Stay QM Rating,Long-Stay Quality Measures,,,Stars,Stars,,Yellow and Grey,,Nursing Homes,"How do both long-term, and discharged patients rate the nursing home environment, care, communication and respect, autonomy, and activieties?",, https://www.ahrq.gov/cahps/surveys-guidance/nh/index.html,,,,,
,,Short-Stay QM Rating,Short-Stay Quality Measures,,,Stars,Stars,,Yellow and Grey,,Nursing Homes,"How to family members of patients rate meeting basic needs, staff kindness and respect, provide information and encourage family involvement, staffing, care of belingings, and cleanliness?",, https://www.ahrq.gov/cahps/surveys-guidance/nh/index.html,,,,,
,,Staffing Rating,Staffing,,,Stars,Stars,,Yellow and Grey,,Nursing Homes,Is this facility adequately staffed?,,Guess,,,,,
,,Abuse Icon,No Cited Abuse/Potential Abuse,"No Reported Abuse, or Abuse Reported",Yes,Icon,Icon,Y/N,"Red Stop Hand, Green Thumbs Up",,Nursing Homes,"This nursing home has been cited for potential issues related to abuse. For more info and what to do if you suspect abuse has occured, click here.",,Nursing Home Data Disctionary,,,,,
,,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,Median time from arrival to discharge,Median Arrival to Discharge,Yes,Emoji ,Minutes,,"Red, Yellow, Green, Grey",https://data.cms.gov/provider-data/dataset/apyc-v239,Emergency Department,Average (median) time patients spent in the emergency department before leaving from the visit ,,CMS Quality Measure term,,,,,
,,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is bettera,Median time from arrival to discharge for mental health patients,,,Emoji ,Minutes,,"Red, Yellow, Green, Grey",,Emergency Department,Average (median) time patients spent in the emergency department before leaving from the visit,,CMS Quality Measure term,,,,,
,,Left before being seen,Patient Left Before Being Seen,Patients Left Before Being Seen,Yes,Emoji ,Percent,,"Red, Yellow, Green, Grey",,Emergency Department,How often are patients leaving before they are seen by a healthcare provider?,,Guess,,,,,
,,Head CT results,Patients Recieve a Brain Scan for stroke within 45 min,,,Emoji ,Percent,,"Red, Yellow, Green, Grey",,Emergency Department,Are patients who are suspected to have a stroke given a brain scan within 45 min of arriving to the emergency room?,,Guess,,,,,
,,Emergency department volume,Emergency Department Volume,,,Emoji ,Category,,"Red, Yellow, Green, Grey",,Emergency Department,How busy is this emergency department on average?,,Guess,,,,,
,,Star Rating for how patients rated overall care from agency,Patient Rating - Home Health,Patient Rating,Yes,Stars,Stars,,Yellow and Grey,https://data.cms.gov/provider-data/dataset/6jpm-sxkc,Home Health,Patient's overall rating of this agency.,,https://homehealthcahps.org/Portals/0/HHCAHPS_steps_calculate_composites.pdf?ver=2016-11-07-101103-157,,,,,
,,Star Rating for health team gave care in a professional way,Provider Professionalism,,,Stars,Stars,,Yellow and Grey,,Home Health,Are providers informed on their patients treatment? Are patients treated gently and with respect? Do patients have problems with their providers?,,,,,,,
,,Star Rating for health team communicated well with them,Provider Communication,Provider Communication,Yes,Stars,Stars,,Yellow and Grey,,Home Health,"Are providers informing patients of what services they will recieve, when they will arrive to patient's homes, explain care well, listen carefully, provide needed help in a timely manner?",,,,,,,
,,"Star Rating team discussed medicines, pain, and home safety","Medication, Pain, & Home Safety Communication",,,Emoji,Percent,,"Red, Yellow, Green, Grey",,Home Health,Patient Rating,,,,,,,
