Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,Months,SIR_2015,Notes
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196,John Muir Medical Center-Concord Campus,Contra Costa,Acute Care Hospital,Major Teaching,7,4.59,60893,1.52,0.67,3.02,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,John Muir Medical Center-Walnut Creek Campus,Contra Costa,Acute Care Hospital,Major Teaching,5,8.91,106220,0.56,0.21,1.24,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,John Muir Medical Center-Walnut Creek Campus,Contra Costa,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.12,6075,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011203,Kaiser Foundation Hospital - Antioch,Contra Costa,Acute Care Hospital,Major Teaching,0,1.60,40688,0.00,0.00,1.87,Same,Yes,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000191,Kaiser Foundation Hospital - Richmond Campus,Contra Costa,Acute Care Hospital,Major Teaching,1,0.74,15906,1.35,0.03,7.53,Same,No,12,,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190,Kaiser Foundation Hospital - Walnut Creek,Contra Costa,Acute Care Hospital,"Community, 125-250 Beds",0,4.75,68459,0.00,0.00,0.63,Better,Yes,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000704,San Ramon Regional Medical Center,Contra Costa,Acute Care Hospital,"Community, <125 Beds",0,0.60,17287,0.00,0.00,6.15,Same,Yes,12,0.00,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016,Sutter Delta Medical Center,Contra Costa,Acute Care Hospital,"Community, 125-250 Beds",1,0.86,25562,1.17,0.03,6.51,Same,No,12,0.65,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,Sutter Coast Hospital,Del Norte,Acute Care Hospital,"Community, <125 Beds",0,0.45,8474,0.00,0.00,8.22,Same,Yes,12,,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,Sutter Coast Hospital,Del Norte,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.04,1974,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000114,Barton Memorial Hospital,El Dorado,Acute Care Hospital,"Community, <125 Beds",0,0.27,7569,0.00,0.00,13.62,Same,Yes,12,,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000121,Marshall Medical Center,El Dorado,Acute Care Hospital,"Community, <125 Beds",0,0.76,20079,0.00,0.00,4.87,Same,Yes,12,,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000124,Adventist Health Reedley,Fresno,Acute Care Hospital,"Community, <125 Beds",0,0.19,8956,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000122,Adventist Health Selma,Fresno,Acute Care Hospital,"Community, <125 Beds",2,0.16,7119,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000095,Clovis Community Medical Center,Fresno,Acute Care Hospital,Major Teaching,4,4.67,91525,0.86,0.27,2.07,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000096,Coalinga Regional Medical Center,Fresno,Acute Care Hospital,"Community, <125 Beds",0,0.04,2277,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,Community Regional Medical Center,Fresno,Acute Care Hospital,Major Teaching,16,16.61,219845,0.96,0.57,1.53,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,Community Regional Medical Center,Fresno,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.19,10128,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040001397,Fresno Heart And Surgical Hospital,Fresno,Acute Care Hospital,Major Teaching,0,0.63,14187,0.00,0.00,5.87,Same,Yes,12,,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000254,Fresno Surgical Hospital,Fresno,Acute Care Hospital,"Community, <125 Beds",0,0.04,3166,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000949,Kaiser Foundation Hospital - Fresno,Fresno,Acute Care Hospital,"Community, 125-250 Beds",0,2.19,43692,0.00,0.00,1.37,Same,Yes,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000126,Saint Agnes Medical Center,Fresno,Acute Care Hospital,Major Teaching,10,8.14,106764,1.23,0.62,2.19,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000613,San Joaquin Valley Rehabilitation Hospital,Fresno,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.33,17114,0.00,0.00,11.34,Same,Yes,12,,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000006,Glenn Medical Center,Glenn,Critical Access Hospital,Critical Access,0,0.16,7490,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057,Jerold Phelps Community Hospital,Humboldt,Critical Access Hospital,Critical Access,0,0.02,892,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000021,Mad River Community Hospital,Humboldt,Acute Care Hospital,"Community, <125 Beds",0,0.16,6140,,,,,,12,0.00,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000045,Providence Redwood Memorial Hospital,Humboldt,Critical Access Hospital,Critical Access,0,0.10,4776,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000067,Providence St. Joseph Hospital,Humboldt,Acute Care Hospital,"Community, 125-250 Beds",1,1.13,35476,0.89,0.04,4.38,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000069,The General Hospital,Humboldt,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.03,1804,,,,,,7,,"Incomplete Reporter, interpret with caution"
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),090000040,El Centro Regional Medical Center,Imperial,Acute Care Hospital,"Community, 125-250 Beds",2,1.54,26358,1.30,0.22,4.30,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),090000146,Pioneers Memorial Healthcare District,Imperial,Acute Care Hospital,"Community, <125 Beds",0,0.76,18987,0.00,0.00,4.87,Same,Yes,12,,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000037,Northern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,0,0.07,3582,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000102,Southern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,,,,,,,,,0,,"Incomplete Reporter, interpret with caution"
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000411,Adventist Health Bakersfield,Kern,Acute Care Hospital,Major Teaching,3,4.72,75198,0.64,0.16,1.73,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000336,Adventist Health Delano,Kern,Acute Care Hospital,"Community, <125 Beds",0,0.32,9035,0.00,0.00,11.55,Same,Yes,12,0.00,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000413,Adventist Health Tehachapi Valley,Kern,Critical Access Hospital,Critical Access,0,0.08,3858,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330,Bakersfield Heart Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",0,0.43,11702,0.00,0.00,8.54,Same,Yes,12,0.00,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338,Bakersfield Memorial Hospital,Kern,Acute Care Hospital,"Community, >250 Beds",2,4.24,82817,0.47,0.08,1.56,Same,Yes,12,0.63,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000555,Encompass Health Rehabilitation Hospital Of Bakersfield,Kern,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.43,22452,0.00,0.00,8.64,Same,Yes,12,0.00,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319,Good Samaritan Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",0,0.19,7047,,,,,,12,0.00,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342,Kern Medical Center,Kern,Acute Care Hospital,Major Teaching,5,3.22,59967,1.55,0.57,3.45,Same,No,12,0.99,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000344,Kern Valley Healthcare District,Kern,Critical Access Hospital,Critical Access,0,0.04,2021,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404,Mercy Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",2,1.12,22605,1.78,0.30,5.88,Same,No,12,0.00,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000701,Mercy Southwest Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",1,1.26,33547,0.79,0.04,3.92,Same,No,12,0.00,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000409,Ridgecrest Regional Hospital,Kern,Critical Access Hospital,Critical Access,1,0.17,8162,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012960,Adventist Health Hanford,Kings,Acute Care Hospital,Major Teaching,0,2.07,41444,0.00,0.00,1.45,Same,Yes,12,1.01,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044,Adventist Health Clearlake,Lake,Critical Access Hospital,Critical Access,0,0.11,5456,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019,Sutter Lakeside Hospital,Lake,Critical Access Hospital,Critical Access,0,0.15,6969,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008,Banner Lassen Medical Center,Lassen,Critical Access Hospital,Critical Access,0,0.07,3480,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059,Adventist Health Glendale,Los Angeles,Acute Care Hospital,Major Teaching,1,4.68,87566,0.21,0.01,1.05,Same,Yes,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059,Adventist Health Glendale,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.12,6519,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191,Adventist Health White Memorial,Los Angeles,Acute Care Hospital,Major Teaching,3,4.99,79370,0.60,0.15,1.64,Same,No,12,0.40,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005,Alhambra Hospital Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",2,0.77,20337,2.60,0.31,9.38,Same,No,12,1.21,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005,Alhambra Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3375,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000008,Antelope Valley Hospital,Los Angeles,Acute Care Hospital,Major Teaching,8,4.55,89013,1.76,0.82,3.34,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000014,Barlow Respiratory Hospital,Los Angeles,Long-Term Acute Care Hospital,Long-Term Acute Care,4,4.07,23746,0.98,0.31,2.37,Same,No,12,0.24,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012,Beverly Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",2,1.44,32271,1.39,0.23,4.60,Same,No,12,2.54,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000002,California Hospital Medical Center - Los Angeles,Los Angeles,Acute Care Hospital,Major Teaching,13,7.74,76942,1.68,0.93,2.80,Same,No,12,1.58,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000031,"California Rehabilitation Institute, Llc",Los Angeles,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.14,7600,,,,,,2,,"Incomplete Reporter, interpret with caution"
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020,Casa Colina Hospital,Los Angeles,Acute Care Hospital,"Community, <125 Beds",0,0.09,4159,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020,Casa Colina Hospital-Rehab,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.43,22363,0.00,0.00,8.68,Same,Yes,12,,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000013,Catalina Island Medical Center,Los Angeles,Critical Access Hospital,Critical Access,0,0.01,291,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000044,Cedars-Sinai Marina Del Rey Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",0,0.96,21858,0.00,0.00,3.85,Same,Yes,12,1.90,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000004,Cedars-Sinai Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,20,25.99,310180,0.77,0.48,1.17,Same,No,12,0.93,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022,Centinela Hospital Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,4,4.05,59498,0.99,0.31,2.38,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022,Centinela Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.08,4075,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034,Children's Hospital Los Angeles,Los Angeles,Acute Care Hospital,Pediatric,3,4.14,110439,0.73,0.18,1.97,Same,No,12,0.49,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000036,City Of Hope Helford Clinical Research Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",1,6.46,74495,0.16,0.01,0.76,Better,Yes,12,0.82,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000038,Coast Plaza Hospital,Los Angeles,Acute Care Hospital,"Community, <125 Beds",1,0.44,10169,2.29,0.06,12.73,Same,No,12,0.00,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000114,College Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",2,1.18,18366,1.69,0.28,5.59,Same,No,12,0.57,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000040,Community Hospital Of Huntington Park,Los Angeles,Acute Care Hospital,"Community, <125 Beds",0,0.36,15154,0.00,0.00,10.24,Same,Yes,12,3.67,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000158,Docs Surgical Hospital,Los Angeles,Acute Care Hospital,"Community, <125 Beds",0,0.01,843,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000053,East Los Angeles Doctors Hospital,Los Angeles,Acute Care Hospital,"Community, <125 Beds",2,0.38,10528,5.27,0.64,19.04,Same,No,12,2.28,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000056,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Major Teaching,3,1.12,23004,2.68,0.68,7.30,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000070,Emanate Health Inter-Community Hospital,Los Angeles,Acute Care Hospital,Major Teaching,1,1.63,31744,0.61,0.03,3.03,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132,Emanate Health Queen Of The Valley Hospital,Los Angeles,Acute Care Hospital,Major Teaching,3,2.78,58022,1.08,0.28,2.94,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132,Emanate Health Queen Of The Valley Hospital,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3403,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054,Encino Hospital Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",0,0.35,8649,0.00,0.00,10.67,Same,Yes,12,0.00,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054,Encino Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2470,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058,Garfield Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",6,2.51,43309,2.39,0.97,4.97,Same,No,12,1.86,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058,Garfield Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.09,4496,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093,Glendale Memorial Hospital And Health Center,Los Angeles,Acute Care Hospital,"Community, >250 Beds",1,2.21,42552,0.45,0.02,2.24,Same,Yes,12,0.38,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093,Glendale Memorial Hospital And Health Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.07,3491,,,,,,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000062,Greater El Monte Community Hospital,Los Angeles,Acute Care Hospital,"Community, <125 Beds",0,0.43,11491,0.00,0.00,8.55,Same,Yes,12,0.00,¥ See Data Dictionary
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063,Henry Mayo Newhall Hospital,Los Angeles,Acute Care Hospital,"Community, >250 Beds",3,2.60,56898,1.16,0.29,3.14,Same,No,12,,
2022,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063,Henry Mayo Newhall Hospital,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.07,3591,,,,,,12,,
