Facility ID,Address,Facility Name,Nurse communication - star rating,Doctor communication - star rating,Staff responsiveness - star rating,Communication about medicines - star rating,Discharge information - star rating,Care transition - star rating,Cleanliness - star rating,Quietness - star rating,Overall hospital rating - star rating,Recommend hospital - star rating,Summary star rating,Central Line Associated Bloodstream Infection (ICU + select Wards) Lower CI,Central Line Associated Bloodstream Infection (ICU + select Wards) Upper CI,Central Line Associated Bloodstream Infection (ICU + select Wards) SIR,Central Line Associated Bloodstream Infection (ICU + select Wards) Compared to National,Catheter Associated Urinary Tract Infections (ICU + select Wards) Lower CI,Catheter Associated Urinary Tract Infections (ICU + select Wards) Upper CI,Catheter Associated Urinary Tract Infections (ICU + select Wards) SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards) Compared to National,SSI - Colon Surgery Lower CI,SSI - Colon Surgery Upper CI,SSI - Colon Surgery SIR,SSI - Colon Surgery Compared to National,SSI - Abdominal Hysterectomy Lower CI,SSI - Abdominal Hysterectomy Upper CI,SSI - Abdominal Hysterectomy SIR,SSI - Abdominal Hysterectomy Compared to National,MRSA Bacteremia Lower CI,MRSA Bacteremia Upper CI,MRSA Bacteremia SIR,MRSA Bacteremia Compared to National,Clostridium Difficile (C.Diff) Lower CI,Clostridium Difficile (C.Diff) Upper CI,Clostridium Difficile (C.Diff) SIR,Clostridium Difficile (C.Diff) Compared to National,Mean SIR,Mean Compared to National,Infection Rating
010024,"1725 PINE STREET, MONTGOMERY, AL 36106",JACKSON HOSPITAL & CLINIC INC,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,2.534,5.264,3.714,1.0,1.249,2.953,1.966,1.0,0.168,1.795,0.660,2.0,,,,,2.386,5.641,3.754,1.0,0.585,1.107,0.815,2.0,2.1818,1.4,1
010029,"2000 PEPPERELL PARKWAY, OPELIKA, AL 36801",THE EAST ALABAMA HEALTHCARE AUTHORITY,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,0.368,2.226,1.004,2.0,0.268,1.624,0.733,2.0,0.100,1.964,0.594,2.0,0.473,3.591,1.489,2.0,0.014,1.350,0.274,2.0,0.634,1.221,0.892,2.0,0.8310000000000001,2.0,3
010033,"619 SOUTH 19TH STREET, BIRMINGHAM, AL 35233",UNIVERSITY OF ALABAMA HOSPITAL,3.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,5.0,4.0,0.717,1.243,0.953,2.0,0.502,0.834,0.653,3.0,0.495,1.088,0.748,2.0,0.795,2.993,1.631,2.0,1.387,2.218,1.766,1.0,0.325,0.475,0.395,3.0,1.0243333333333335,2.1666666666666665,3
010035,"1912 ALABAMA HIGHWAY 157, CULLMAN, AL 35058",CULLMAN REGIONAL MEDICAL CENTER,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,--,1.606,0.000,2.0,0.452,2.042,1.032,2.0,0.341,3.643,1.339,2.0,,,,,--,1.984,0.000,2.0,0.094,0.710,0.295,3.0,0.5332,2.2,3
010036,"849 SOUTH THREE NOTCH STREET, ANDALUSIA, AL 36420",ANDALUSIA HEALTH,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,--,1.243,0.000,2.0,0.0,2.0,3
010039,"101 SIVLEY RD, HUNTSVILLE, AL 35801",HUNTSVILLE HOSPITAL,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,0.965,1.935,1.387,2.0,0.528,1.058,0.759,2.0,0.501,1.574,0.926,2.0,0.244,1.850,0.767,2.0,0.885,1.978,1.350,2.0,0.636,0.899,0.759,3.0,0.9913333333333334,2.1666666666666665,3
010040,"1007 GOODYEAR AVENUE, GADSDEN, AL 35903",GADSDEN REGIONAL MEDICAL CENTER,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,0.382,2.314,1.044,2.0,0.354,1.447,0.762,2.0,--,1.231,0.000,2.0,,,,,1.134,4.268,2.326,1.0,0.033,0.349,0.128,3.0,0.852,2.0,3
010045,"1653 TEMPLE AVENUE NORTH, FAYETTE, AL 35555",FAYETTE MEDICAL CENTER,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
010046,"600 SOUTH THIRD STREET, GADSDEN, AL 35901",RIVERVIEW REGIONAL MEDICAL CENTER,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,0.018,1.729,0.351,2.0,--,0.470,0.000,3.0,--,2.326,0.000,2.0,,,,,--,1.611,0.000,2.0,0.072,0.544,0.225,3.0,0.1152,2.4,4
010049,"400 N EDWARDS STREET, ENTERPRISE, AL 36330",MEDICAL CENTER ENTERPRISE,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,,,,,--,2.110,0.000,2.0,,,,,,,,,,,,,0.460,2.782,1.255,2.0,0.6275,2.0,3
010055,"4370 WEST MAIN STREET, DOTHAN, AL 36305",FLOWERS HOSPITAL,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,0.084,1.649,0.499,2.0,0.032,0.621,0.188,3.0,--,1.704,0.000,2.0,0.108,2.119,0.641,2.0,0.119,2.337,0.707,2.0,0.136,0.617,0.312,3.0,0.39116666666666666,2.3333333333333335,4
010056,"810 ST VINCENT'S DRIVE, BIRMINGHAM, AL 35205",ST VINCENT'S BIRMINGHAM,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,0.176,0.904,0.435,3.0,0.176,0.721,0.380,3.0,0.041,0.802,0.243,3.0,0.218,2.333,0.857,2.0,0.365,1.492,0.786,2.0,0.393,0.744,0.548,3.0,0.5415,2.6666666666666665,5
010061,"380 WOODS COVE ROAD, SCOTTSBORO, AL 35768",HIGHLANDS MEDICAL CENTER,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,,,,,0.878,6.663,2.762,2.0,,,,,,,,,,,,,0.052,1.021,0.309,2.0,1.5355,2.0,3
010065,"3316 HIGHWAY 280, ALEXANDER CITY, AL 35010",RUSSELL MEDICAL CENTER,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,--,1.890,0.000,2.0,,,,,,,,,,,,,0.378,2.868,1.189,2.0,0.5945,2.0,3
010069,"820 W WASHINGTON ST, EUFAULA, AL 36027",MEDICAL CENTER BARBOUR,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,--,2.456,0.000,2.0,0.0,2.0,3
010078,"400 EAST 10TH STREET, ANNISTON, AL 36207",NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,0.014,1.422,0.288,2.0,0.010,1.010,0.205,2.0,--,0.799,0.000,3.0,,,,,0.501,3.028,1.366,2.0,0.850,1.537,1.156,2.0,0.603,2.2,3
010079,"700 WEST MARKET STREET, ATHENS, AL 35611",ATHENS LIMESTONE HOSPITAL,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,,,,,0.349,3.738,1.374,2.0,,,,,,,,,--,2.960,0.000,2.0,0.056,1.103,0.334,2.0,0.5693333333333334,2.0,3
010083,"1613 NORTH MCKENZIE STREET, FOLEY, AL 36535",SOUTH BALDWIN REGIONAL MEDICAL CENTER,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,--,1.466,0.000,2.0,0.075,1.473,0.446,2.0,,,,,,,,,0.034,3.346,0.678,2.0,0.005,0.490,0.099,3.0,0.30575,2.25,4
010085,"1201 7TH STREET SE, DECATUR, AL 35601",DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,0.017,1.694,0.343,2.0,0.006,0.595,0.121,3.0,0.022,2.198,0.446,2.0,,,,,0.020,1.931,0.392,2.0,0.002,0.235,0.048,3.0,0.27,2.4,4
010086,"1530 U S HIGHWAY 43, WINFIELD, AL 35594",NORTHWEST MEDICAL CENTER,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
010087,"2451 FILLINGIM STREET, MOBILE, AL 36617",USA HEALTH UNIVERSITY HOSPITAL,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,0.652,1.575,1.038,2.0,0.252,0.833,0.479,3.0,0.008,0.790,0.160,3.0,,,,,0.940,2.949,1.735,2.0,0.420,0.851,0.607,3.0,0.8038000000000001,2.6,4
010089,"3400 HIGHWAY 78 EAST, JASPER, AL 35502",WALKER BAPTIST MEDICAL CENTER,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,0.201,3.964,1.200,2.0,--,0.835,0.000,3.0,--,2.563,0.000,2.0,,,,,1.787,10.812,4.878,1.0,0.220,1.131,0.544,2.0,1.3244,2.0,3
010090,"6801 AIRPORT BOULEVARD, MOBILE, AL 36608",PROVIDENCE HOSPITAL,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,0.070,1.373,0.416,2.0,0.073,0.784,0.288,3.0,0.283,3.023,1.111,2.0,0.042,4.113,0.834,2.0,0.151,1.611,0.592,2.0,0.351,0.799,0.541,3.0,0.6303333333333333,2.3333333333333335,4
010092,"809 UNIVERSITY BOULEVARD EAST, TUSCALOOSA, AL 35401",DCH REGIONAL MEDICAL CENTER,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.274,2.527,1.820,1.0,0.255,0.801,0.471,3.0,0.388,1.753,0.886,2.0,0.347,2.636,1.093,2.0,0.742,2.135,1.304,2.0,0.447,0.815,0.610,3.0,1.0306666666666666,2.1666666666666665,3
010097,"500 HOSPITAL DRIVE, WETUMPKA, AL 36092",ELMORE COMMUNITY HOSPITAL,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
010099,"1301 BELLEVILLE AVENUE, BREWTON, AL 36426",D W MCMILLAN MEMORIAL HOSPITAL,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,0.030,2.917,0.591,2.0,0.591,2.0,3
010100,"750 MORPHY AVENUE, FAIRHOPE, AL 36532",THOMAS HOSPITAL,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,0.065,1.279,0.387,2.0,0.832,2.750,1.582,2.0,0.596,3.608,1.628,2.0,,,,,--,1.348,0.000,2.0,0.136,0.699,0.336,3.0,0.7866,2.2,3
010101,"604 STONE AVENUE, TALLADEGA, AL 35161",CITIZENS BAPTIST MEDICAL CENTER,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,0.394,4.217,1.550,2.0,1.55,2.0,3
010103,"701 PRINCETON AVENUE SOUTHWEST, BIRMINGHAM, AL 35211",PRINCETON BAPTIST MEDICAL CENTER,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.114,0.862,0.357,3.0,0.057,0.608,0.223,3.0,0.133,2.619,0.793,2.0,,,,,0.840,3.434,1.808,2.0,0.091,0.412,0.208,3.0,0.6778000000000001,2.6,4
010104,"3690 GRANDVIEW PARKWAY, BIRMINGHAM, AL 35243",GRANDVIEW MEDICAL CENTER,3.0,4.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,0.297,0.981,0.564,3.0,0.507,1.134,0.774,2.0,0.165,1.000,0.451,2.0,0.305,3.261,1.198,2.0,0.356,1.454,0.766,2.0,0.166,0.392,0.261,3.0,0.669,2.3333333333333335,4
010108,"124 S MEMORIAL DR, PRATTVILLE, AL 36067",PRATTVILLE BAPTIST HOSPITAL,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,0.031,3.033,0.615,2.0,,,,,,,,,,,,,0.069,1.358,0.411,2.0,0.513,2.0,3
010112,"105 HIGHWAY 80 EAST, DEMOPOLIS, AL 36732",WHITFIELD REGIONAL HOSPITAL,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,0.019,1.912,0.388,2.0,0.388,2.0,3
010113,"5 MOBILE INFIRMARY CIRCLE, MOBILE, AL 36607",MOBILE INFIRMARY MEDICAL CENTER,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,0.448,1.481,0.852,2.0,0.226,0.749,0.431,3.0,0.356,1.610,0.814,2.0,0.694,4.198,1.894,2.0,0.642,1.782,1.105,2.0,0.217,0.486,0.332,3.0,0.9046666666666666,2.3333333333333335,4
010114,"995 9TH AVENUE SOUTHWEST, BESSEMER, AL 35021","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.740,2.445,1.407,2.0,0.255,1.151,0.582,2.0,0.151,2.982,0.903,2.0,,,,,0.813,4.917,2.218,2.0,0.610,1.639,1.031,2.0,1.2281999999999997,2.0,3
010118,"1015 MEDICAL CENTER PARKWAY, SELMA, AL 36701",VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,3.0,4.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,,,,,0.026,2.565,0.520,2.0,,,,,,,,,,,,,0.135,1.445,0.531,2.0,0.5255000000000001,2.0,3
010120,"2016 SOUTH ALABAMA AVENUE, MONROEVILLE, AL 36460",MONROE COUNTY HOSPITAL,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,--,2.897,0.000,2.0,0.0,2.0,3
010125,"42024 HIGHWAY 195 E, HALEYVILLE, AL 35565",LAKELAND COMMUNITY HOSPITAL,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,0.037,3.618,0.734,2.0,0.734,2.0,3
010126,"1330 HIGHWAY 231 SOUTH, TROY, AL 36081",TROY REGIONAL MEDICAL CENTER,3.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,--,1.758,0.000,2.0,0.0,2.0,3
010129,"1815 HAND AVENUE, BAY MINETTE, AL 36507",NORTH BALDWIN INFIRMARY,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,--,1.707,0.000,2.0,0.0,2.0,3
010130,"7063 VETERANS PARKWAY, PELL CITY, AL 35125",ST VINCENT'S ST CLAIR,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,,,,,--,2.975,0.000,2.0,,,,,,,,,,,,,0.248,1.502,0.678,2.0,0.339,2.0,3
010131,"ONE HOSPITAL DR SE, HUNTSVILLE, AL 35801",CRESTWOOD MEDICAL CENTER,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,0.542,5.803,2.132,2.0,--,1.268,0.000,2.0,0.156,3.065,0.928,2.0,,,,,--,1.150,0.000,2.0,0.255,0.894,0.501,3.0,0.7121999999999999,2.2,3
010139,"2010 BROOKWOOD MEDICAL CENTER DRIVE, BIRMINGHAM, AL 35209",BROOKWOOD BAPTIST MEDICAL CENTER,3.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.592,2.677,1.353,2.0,0.098,1.047,0.385,2.0,0.162,1.737,0.638,2.0,0.110,1.175,0.432,2.0,0.177,1.890,0.695,2.0,0.176,0.554,0.326,3.0,0.6381666666666667,2.1666666666666665,3
010144,"3719 DAUPHIN STREET, MOBILE, AL 36608",SPRINGHILL MEDICAL CENTER,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,0.503,3.040,1.372,2.0,0.016,1.614,0.327,2.0,0.152,2.990,0.905,2.0,0.016,1.571,0.318,2.0,0.321,2.436,1.010,2.0,0.031,0.332,0.122,3.0,0.6756666666666667,2.1666666666666665,3
010148,"101 CRESTVIEW AVENUE, EVERGREEN, AL 36401",EVERGREEN MEDICAL CENTER,4.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
010149,"400 TAYLOR ROAD, MONTGOMERY, AL 36117",BAPTIST MEDICAL CENTER EAST,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,0.914,2.738,1.642,2.0,0.476,1.945,1.024,2.0,0.009,0.872,0.177,3.0,0.215,1.632,0.677,2.0,0.546,3.300,1.489,2.0,0.337,1.011,0.606,2.0,0.9358333333333334,2.1666666666666665,3
01014F,"700 SOUTH 19TH STREET, BIRMINGHAM, AL 35233",BIRMINGHAM VA MEDICAL CENTER,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1.011,4.574,2.313,1.0,0.238,1.803,0.748,2.0,,,,,,,,,,,,,,,,,1.5305,1.5,2
010158,"15155 HIGHWAY 43, RUSSELLVILLE, AL 35653",RUSSELLVILLE HOSPITAL,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,--,1.791,0.000,2.0,0.0,2.0,3
010164,"315 W HICKORY ST, SYLACAUGA, AL 35150",COOSA VALLEY MEDICAL CENTER,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,,,,,--,1.720,0.000,2.0,,,,,,,,,,,,,--,0.468,0.000,3.0,0.0,2.5,4
010168,"4401 RIVER CHASE DRIVE, PHENIX CITY, AL 36867",JACK HUGHSTON MEMORIAL HOSPITAL,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,0.046,4.496,0.912,2.0,0.912,2.0,3
010169,"401 MEDICAL PARK DRIVE, ATMORE, AL 36502",ATMORE COMMUNITY HOSPITAL,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,--,2.091,0.000,2.0,0.0,2.0,3
010173,"2030 LAY DAM ROAD, CLANTON, AL 35045",ST VINCENT'S CHILTON,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,--,1.641,0.000,2.0,0.0,2.0,3
01019F,"215 PERRY HILL ROAD, MONTGOMERY, AL 36109",VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,3.0,4.0,2.0,3.0,2.0,3.0,3.0,5.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
011305,"150 GILBREATH DRIVE, ONEONTA, AL 35121",ST VINCENTS BLOUNT,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,,,,,0.030,2.955,0.599,2.0,,,,,,,,,,,,,1.289,6.617,3.181,1.0,1.8900000000000001,1.5,2
020001,"3200 PROVIDENCE DRIVE, ANCHORAGE, AK 99508",PROVIDENCE ALASKA MEDICAL CENTER,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,0.164,0.843,0.405,3.0,0.440,1.657,0.903,2.0,1.067,4.015,2.188,1.0,0.048,4.711,0.955,2.0,0.357,1.459,0.769,2.0,0.089,0.364,0.192,3.0,0.9020000000000001,2.1666666666666665,3
020006,"2500 SOUTH WOODWORTH LOOP, PALMER, AK 99645",MAT-SU REGIONAL MEDICAL CENTER,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,--,1.614,0.000,2.0,--,1.306,0.000,2.0,--,1.530,0.000,2.0,,,,,0.545,5.832,2.143,2.0,--,0.321,0.000,3.0,0.4286,2.2,3
020008,"3260 HOSPITAL DR, JUNEAU, AK 99801",BARTLETT REGIONAL HOSPITAL,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,0.165,1.765,0.649,2.0,0.649,2.0,3
020012,"1650 COWLES STREET, FAIRBANKS, AK 99701",FAIRBANKS MEMORIAL HOSPITAL,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,,,,,0.157,3.088,0.935,2.0,0.476,5.093,1.871,2.0,,,,,,,,,0.076,0.816,0.300,3.0,1.0353333333333332,2.3333333333333335,4
020017,"2801 DEBARR ROAD, ANCHORAGE, AK 99508",ALASKA REGIONAL HOSPITAL,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.010,0.998,0.202,3.0,0.014,1.351,0.274,2.0,0.017,1.678,0.340,2.0,,,,,0.016,1.547,0.314,2.0,0.214,0.874,0.460,3.0,0.318,2.4,4
020018,"PO BOX 287, BETHEL, AK 99559",YUKON KUSKOKWIM DELTA REG HOSPITAL,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,--,1.149,0.000,2.0,0.0,2.0,3
020024,"250 HOSPITAL PLACE, SOLDOTNA, AK 99669",CENTRAL PENINSULA GENERAL HOSPITAL,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,,,,,,,,,1.099,8.339,3.457,1.0,,,,,,,,,0.075,1.485,0.449,2.0,1.9529999999999998,1.5,2
020026,"4315 DIPLOMACY DR, ANCHORAGE, AK 99508",ALASKA NATIVE MEDICAL CENTER,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,0.109,1.169,0.429,2.0,0.345,1.768,0.850,2.0,0.013,1.241,0.252,2.0,,,,,0.409,2.477,1.117,2.0,0.037,0.394,0.145,3.0,0.5586,2.2,3
02013F,"673 MDG 5955 Zeamer Ave, JBER, AK 99506",673rd Medical Group (Joint Base Elmendorf-Richardson),5.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
